timestamp_utc,episode,reward,score,episode_steps,average_reward,best_reward,epsilon,total_training_steps,q_entries
2026-04-30T03:56:57.0358180+00:00,1,-17.8827,100,521,-17.8827,-17.8827,1.000000,521,132
2026-04-30T03:56:58.0866535+00:00,2,4.4535,500,1136,-6.7146,4.4535,0.995000,1657,364
2026-04-30T03:56:58.9364185+00:00,3,1.7636,400,1017,-3.8885,4.4535,0.990025,2674,579
2026-04-30T03:56:59.9036502+00:00,4,4.6845,400,1158,-1.7452,4.6845,0.985075,3832,863
2026-04-30T03:57:00.5881046+00:00,5,-19.5635,0,819,-5.3089,4.6845,0.980150,4651,959
2026-04-30T03:57:01.5231836+00:00,6,4.9886,400,1121,-3.5927,4.9886,0.975249,5772,1156
2026-04-30T03:57:02.4075269+00:00,7,-10.7441,100,1055,-4.6143,4.9886,0.970372,6827,1306
2026-04-30T03:57:03.5432658+00:00,8,10.2422,500,1354,-2.7572,10.2422,0.965521,8181,1532
2026-04-30T03:57:04.3453188+00:00,9,-9.9746,200,968,-3.5592,10.2422,0.960693,9149,1730
2026-04-30T03:57:05.3128115+00:00,10,5.3043,400,1153,-2.6728,10.2422,0.955890,10302,1948
2026-04-30T03:57:06.2797093+00:00,11,0.8086,300,1175,-2.3563,10.2422,0.951110,11477,2082
2026-04-30T03:57:07.9969718+00:00,12,50.2399,1200,2052,2.0267,50.2399,0.946355,13529,2355
2026-04-30T03:57:09.0177585+00:00,13,-15.7497,0,873,0.6593,50.2399,0.941623,14402,2459
2026-04-30T03:57:10.3875566+00:00,14,0.5113,400,1153,0.6487,50.2399,0.936915,15555,2603
2026-04-30T03:57:11.6726031+00:00,15,-7.5268,200,1128,0.1037,50.2399,0.932230,16683,2707
2026-04-30T03:57:12.9045537+00:00,16,4.8851,400,1113,0.4025,50.2399,0.927569,17796,2931
2026-04-30T03:57:14.3430960+00:00,17,10.5627,500,1303,1.0002,50.2399,0.922931,19099,3089
2026-04-30T03:57:15.6449022+00:00,18,9.6705,500,1172,1.4819,50.2399,0.918316,20271,3252
2026-04-30T03:57:18.1285747+00:00,19,60.4349,1300,2284,4.5847,60.4349,0.913725,22555,3579
2026-04-30T03:57:19.8774470+00:00,20,29.9405,800,1525,5.8525,60.4349,0.909156,24080,3733
2026-04-30T03:57:21.0413786+00:00,21,4.1976,400,1014,5.7736,60.4349,0.904610,25094,3928
2026-04-30T03:57:22.4486877+00:00,22,8.2758,500,1230,5.8874,60.4349,0.900087,26324,4084
2026-04-30T03:57:23.8080668+00:00,23,31.7060,800,1627,7.0099,60.4349,0.895587,27951,4262
2026-04-30T03:57:24.5264372+00:00,24,-9.4639,200,862,6.3235,60.4349,0.891109,28813,4331
2026-04-30T03:57:25.5312988+00:00,25,16.3848,600,1200,6.7260,60.4349,0.886653,30013,4504
2026-04-30T03:57:26.2437012+00:00,26,-7.6639,300,843,6.1725,60.4349,0.882220,30856,4564
2026-04-30T03:57:27.1858665+00:00,27,9.7699,600,1122,6.3057,60.4349,0.877809,31978,4640
2026-04-30T03:57:28.1581410+00:00,28,19.5781,700,1157,6.7798,60.4349,0.873420,33135,4754
2026-04-30T03:57:28.9448584+00:00,29,-6.8488,200,933,6.3098,60.4349,0.869053,34068,4821
2026-04-30T03:57:29.8448037+00:00,30,-1.3442,300,1063,6.0547,60.4349,0.864708,35131,4910
2026-04-30T03:57:30.4267090+00:00,31,-23.0823,0,681,5.1148,60.4349,0.860384,35812,4962
2026-04-30T03:57:31.6771997+00:00,32,25.5014,700,1493,5.7519,60.4349,0.856082,37305,5132
2026-04-30T03:57:32.8680855+00:00,33,27.7288,600,1434,6.4178,60.4349,0.851802,38739,5301
2026-04-30T03:57:33.7389557+00:00,34,2.3194,400,1020,6.2973,60.4349,0.847543,39759,5404
2026-04-30T03:57:35.0016234+00:00,35,33.3492,900,1501,7.0702,60.4349,0.843305,41260,5525
2026-04-30T03:57:36.6737637+00:00,36,54.1568,1200,1988,8.3782,60.4349,0.839089,43248,5820
2026-04-30T03:57:37.8740745+00:00,37,27.0982,800,1422,8.8841,60.4349,0.834893,44670,5959
2026-04-30T03:57:39.3914393+00:00,38,39.5976,1000,1801,9.6924,60.4349,0.830719,46471,6070
2026-04-30T03:57:40.6789858+00:00,39,24.5353,700,1516,10.0729,60.4349,0.826565,47987,6242
2026-04-30T03:57:41.3566364+00:00,40,-17.2152,100,805,9.3907,60.4349,0.822432,48792,6267
2026-04-30T03:57:42.9131109+00:00,41,53.7829,1100,1852,10.4735,60.4349,0.818320,50644,6553
2026-04-30T03:57:44.0405641+00:00,42,23.0204,700,1338,10.7722,60.4349,0.814229,51982,6674
2026-04-30T03:57:46.0901066+00:00,43,77.2805,1600,2445,12.3189,77.2805,0.810157,54427,7029
2026-04-30T03:57:47.3810076+00:00,44,24.0190,700,1530,12.5848,77.2805,0.806107,55957,7198
2026-04-30T03:57:50.0827146+00:00,45,124.6247,2400,3216,15.0746,124.6247,0.802076,59173,7584
2026-04-30T03:57:51.4801083+00:00,46,40.0595,1000,1653,15.6178,124.6247,0.798066,60826,7749
2026-04-30T03:57:53.1162660+00:00,47,50.2182,1100,1954,16.3539,124.6247,0.794075,62780,7860
2026-04-30T03:57:54.1232261+00:00,48,3.2824,300,1196,16.0816,124.6247,0.790105,63976,7956
2026-04-30T03:57:55.6787526+00:00,49,54.9045,1200,1855,16.8739,124.6247,0.786154,65831,8091
2026-04-30T03:57:56.7463526+00:00,50,15.6135,600,1261,16.8487,124.6247,0.782224,67092,8171
2026-04-30T03:57:58.2454438+00:00,51,42.1938,1200,1788,17.3457,124.6247,0.778313,68880,8298
2026-04-30T03:57:59.5315920+00:00,52,29.3319,800,1516,17.5762,124.6247,0.774421,70396,8349
2026-04-30T03:58:01.1700724+00:00,53,42.4674,1000,1933,18.0458,124.6247,0.770549,72329,8526
2026-04-30T03:58:03.0751861+00:00,54,75.1190,1500,2263,19.1027,124.6247,0.766696,74592,8727
2026-04-30T03:58:04.1356713+00:00,55,11.2369,500,1251,18.9597,124.6247,0.762863,75843,8846
2026-04-30T03:58:05.1828686+00:00,56,12.3007,500,1240,18.8408,124.6247,0.759048,77083,8892
2026-04-30T03:58:06.5239598+00:00,57,35.8588,900,1585,19.1394,124.6247,0.755253,78668,8946
2026-04-30T03:58:07.8722034+00:00,58,34.3175,900,1593,19.4011,124.6247,0.751477,80261,9101
2026-04-30T03:58:09.3652648+00:00,59,30.5424,900,1772,19.5899,124.6247,0.747720,82033,9208
2026-04-30T03:58:10.3335110+00:00,60,6.0502,300,1136,19.3642,124.6247,0.743981,83169,9311
2026-04-30T03:58:12.2886537+00:00,61,66.7927,1500,2346,20.7755,124.6247,0.740261,85515,9490
2026-04-30T03:58:14.1273629+00:00,62,68.1241,1500,2180,21.8367,124.6247,0.736560,87695,9656
2026-04-30T03:58:15.9147988+00:00,63,52.9878,1400,2114,22.6904,124.6247,0.732877,89809,9824
2026-04-30T03:58:17.8644027+00:00,64,62.6659,1300,2294,23.6568,124.6247,0.729213,92103,9982
2026-04-30T03:58:19.8998074+00:00,65,76.8690,1600,2424,25.2640,124.6247,0.725566,94527,10251
2026-04-30T03:58:21.6496887+00:00,66,67.3084,1300,2074,26.3026,124.6247,0.721939,96601,10398
2026-04-30T03:58:22.8508159+00:00,67,11.2495,500,1435,26.6692,124.6247,0.718329,98036,10443
2026-04-30T03:58:24.9649339+00:00,68,79.4605,1500,2520,27.8228,124.6247,0.714737,100556,10567
2026-04-30T03:58:25.7736100+00:00,69,-8.0146,200,934,27.8555,124.6247,0.711164,101490,10602
2026-04-30T03:58:27.6007919+00:00,70,60.3689,1300,2185,28.7732,124.6247,0.707608,103675,10703
2026-04-30T03:58:29.0886786+00:00,71,41.3552,900,1759,29.4490,124.6247,0.704070,105434,10778
2026-04-30T03:58:31.3861290+00:00,72,93.3426,1800,2728,30.1674,124.6247,0.700549,108162,10946
2026-04-30T03:58:35.0095312+00:00,73,186.8004,3400,4330,33.5432,186.8004,0.697047,112492,11257
2026-04-30T03:58:36.4297046+00:00,74,50.8526,1200,1687,34.3822,186.8004,0.693561,114179,11328
2026-04-30T03:58:38.6003646+00:00,75,79.8776,1600,2565,35.8390,186.8004,0.690094,116744,11438
2026-04-30T03:58:41.1772691+00:00,76,115.6029,2200,3058,37.6843,186.8004,0.686643,119802,11629
2026-04-30T03:58:42.6316892+00:00,77,36.0155,1000,1719,38.1085,186.8004,0.683210,121521,11699
2026-04-30T03:58:44.7438605+00:00,78,79.7572,1700,2524,39.2766,186.8004,0.679794,124045,11879
2026-04-30T03:58:46.2652938+00:00,79,49.9468,1100,1816,39.1018,186.8004,0.676395,125861,11912
2026-04-30T03:58:48.4975096+00:00,80,83.4845,1700,2662,39.9942,186.8004,0.673013,128523,12056
